form-button-edit;Edit
form-button-del;Delete
default-index-history:viewReservations;View Reservations For:
default-index-history:lookup;Lookup
default-index-history:pastEvents;%1$s %2$s's Past Events
default-index-history:what;What?
default-index-history:where;Where?
default-index-history:notes;Notes:
default-index-history:taught;Taught
default-index-history:attended;Attended
default-index-history:waitlist;%1$s on the waitlist for
default-index-history:taughtBy;Taught by:
default-index-history:noInstructor;No Instructor Assigned Yet
default-index-history:tools;Tools:
default-index-history:instructorTools;Instructor Tools
default-index-history:noPast;No Past Reservations Found.
default-index-history:currentEvents;%1$s %2$s's Current Events
default-index-history:teaching;Teaching 
default-index-history:attending;Attending 
default-index-history:seatsAvailable;%1$s of %2$s seats available.
default-index-history:waitlistAvailable;%1$s waitlist spots available.
default-index-history:bothFull;Class and waitlist are full.
default-index-history:seatsTaken;All %1$s seats are taken.
default-index-history:linkCancel;Cancel Reservation...
default-index-history:linkTake;Take Evaluation...
default-index-history:linkDownload;Download Handouts
default-index-history:noActive;No Active Reservations Found.
default-index-index:checkOut;Be sure to check out our upcoming classes.  We'd love to have you!
default-index-index:myCurrent;My Current Events
default-index-index:login;Welcome to ClassMate!  To see your events, login below!

reporting-index-index:title;Download Reports
reporting-index-index:fromDate;From:
reporting-index-index:toDate;To:
reporting-index-index:getReport;Get Report

search-index-reindex:title;Re-Index Searches
search-index-reindex:header;You can re-index the search capabilities for the site from here.
search-index-reindex:reindex;Re-Index Workshops
search-index-reindex:confirm;Are you sure you want to re-index the search?
workshop-evaluate-index:title;Fill out Evaluation
workshop-evaluate-index:header;Evaluate
workshop-evaluate-index:eventDetails;Event Details
workshop-evaluate-index:when;When?
workshop-evaluate-index:what;What?
workshop-evaluate-index:where;Where?
workshop-evaluate-index:instructors;Instructors:
workshop-evaluate-index:noInstructor;No Instructor Assigned Yet
workshop-evaluate-index:instructions;Please fill our the evaluation below.  Once you are finished, select <b>Submit Evaluation</b> at the bottom of the page.  You may only fill out the evaluation once.
workshop-index-index:searchWorkshops;Search for Workshops:
workshop-index-index:search;Search
workshop-index-index:title;Search Workshops
workshop-index-index:header;We regularly teach a wide variety of workshops.  Just use the search box to find the workshop you are interested in!
workshop-index-index:results;Your search for %1$s returned %2$s results:
workshop-index-workshopList:title;All Workshops
workshop-index-add:title;Add New Workshop
workshop-index-add:header;Enter the information for the workshop you would like to add.
workshop-index-details:linkEdit;Edit Workshop
workshop-index-details:disabled;DISABLED!
workshop-index-details:editors;Editors:
workshop-index-details:tags;Tags:
workshop-index-details:none;None
workshop-index-details:noDescription;No Description Provided.
workshop-index-details:preReq;Workshop Pre-Requisites
workshop-index-details:noPreReq;There are no pre-requisites for this workshop.
workshop-index-details:handouts;Workshop Handouts
workshop-index-details:addDocument;Add Document
workshop-index-details:clickIcon;Click the icon to download the file. 
workshop-index-details:bytes;bytes
workshop-index-details:noResources;No Resources Found.
workshop-index-details:onlineResources;Online Resources
workshop-index-details:addLink;Add Link
workshop-index-edit:title;Edit Workshop
workshop-index-edit:header;Make any desired changes to the workshop details.
workshop-index-addDocument:title;Add Document
workshop-index-addDocument:header;Select the document you would like to upload for the <b>%1$s</b> workshop.  You should also provide a description for the file that is being uploaded.
workshop-index-editDocument:title;Edit Document
workshop-index-editDocument:header;Make any desired changes to the document file description.
workshop-index-deleteDocument:title;Delete Document
workshop-index-deleteDocument:header;You have selected to delete this document. Are you sure you want to do this?
workshop-index-addLink:title;Add Link
workshop-index-addLink:header;Enter the link you would like to add for the <b>%1$s</b> workshop.
workshop-index-editLink:title;Edit Link
workshop-index-editLink:header;Make any desired changes to the link details.
workshop-index-deleteLink:title;Delete Link
workshop-index-deleteLink:header;You have selected to delete this link. Are you sure you want to do this?
workshop-index-right:instructorTools;Instructor Tools...
workshop-index-right:attending;You are attending.
workshop-index-right:waitlist;You're on the waitlist.
workshop-index-right:restricted;Attendance Restricted.
workshop-index-right:seatsRemaining;%1$s seats remaining.
workshop-index-right:register;Register...
workshop-index-right:full;This class is full.
workshop-index-right:signupWaitlist;Signup to waitlist...
workshop-index-right:noEvents;No events are scheduled at this time.
workshop-instructor-addAttendee:title;Add Attendees
workshop-instructor-addAttendee:header;Manually select users to add to this event.
workshop-instructor-takeRoll:title;Take Roll
workshop-instructor-takeRoll:header;Mark the people who are present.
workshop-instructor-takeRoll:checkAll;Check All
workshop-instructor-takeRoll:uncheckAll;Uncheck All
workshop-instructor-contact:title;Email Attendees
workshop-instructor-contact:header;You can easily contact all users associated with your class.  Select who to send the message to and %1$s will take care of the rest!
workshop-instructor-evaluationResults:results;Evaluation Results
workshop-instructor-evaluationResults:noResults;No evaluations have been submitted yet.
workshop-instructor-evaluationResults:checked;%1$s out of %2$s people checked this box. 
workshop-instructor-index:header;Instructor Tools for 
workshop-instructor-index:linkView;View Evaluation Results
workshop-instructor-index:linkEdit;Edit Event Details
workshop-instructor-index:instructor;Instructor
workshop-instructor-index:instructors;Instructors
workshop-instructor-index:noPreReq;No Prerequisites were defined for this workshop.
workshop-instructor-index:seatLeft;There is <b>1</b> out of <b>%1$s</b> seats remaining in this class.
workshop-instructor-index:seatsLeft;There are <b>%1$s</b> out of <b>%2$s</b> seats remaining in this class.
workshop-instructor-index:linkAdd;Add Attendees
workshop-instructor-index:linkRoll;Take Roll
workshop-instructor-index:linkPrintSignupSheet;Print Signup Sheet
workshop-instructor-index:linkContact;Contact Attendees
workshop-instructor-index:attendees;Attendees
workshop-instructor-index:present;Present
workshop-instructor-index:absent;Absent
workshop-instructor-index:removeAttendee;Remove %1$s from Attendees
workshop-instructor-index:noAttendees;No attendees yet.
workshop-instructor-index:waitlist;Waitlist
workshop-instructor-index:moveWaistlist;Move %1$s to Attendees
workshop-instructor-index:removeWaitlist;Remove %1$s from Waitlist
workshop-location:disabled;DISABLED!
workshop-location:googleMap;Map With Google Maps!
workshop-location:noAddress;No Address Provided
workshop-location-index:title;Our Teaching Labs
workshop-location-index:header;If you sign up for one of our workshops, chances are your event will be held in one of these locations.  Check out the details for directions.
workshop-location-index:linkAdd;Add New Lab
workshop-location-index:noLocations;No Locations Found.
workshop-location-details:title;Location details: %1$s
workshop-location-add:title;Add a Location
workshop-location-add:header;Here you can add a new teaching lab to the system.  This will be a selectable option when scheduling workshops.
workshop-location-edit:title;Edit Location
workshop-location-edit:header;You can edit the information for the location using the form below.
workshop-location-delete:title;Delete Location
workshop-location-delete:header;You are about to delete the location: %1$s
workshop-location-details:linkBack;Back to All Labs
workshop-location-details:maxStudents;Maximum Number of Students:
workshop-schedule-index:title;Schedule Workshops
workshop-schedule-index:linkCreate;Create New Event
workshop-schedule-index:filterLocation;Filter by Location:
workshop-schedule-index:allLocations;All Locations
